name,source,postalcode,layer,lat,lon
ADAD,geonames2d,AD,postalcode,42.5357,1.5571
AR36,geonames2d,36,postalcode,-25.0178,-59.6472
AR41,geonames2d,41,postalcode,-26.883,-65.1956
AR44,geonames2d,44,postalcode,-25.0513,-65.2488
AR45,geonames2d,45,postalcode,-23.5455,-64.0472
AR46,geonames2d,46,postalcode,-23.2252,-65.5236
AR16,geonames2d,16,postalcode,-34.3805,-58.6098
AR17,geonames2d,17,postalcode,-34.6874,-58.706
AR18,geonames2d,18,postalcode,-34.7992,-58.3572
AR19,geonames2d,19,postalcode,-35.0643,-57.9233
AR21,geonames2d,21,postalcode,-33.0442,-60.9552
AR23,geonames2d,23,postalcode,-30.1916,-62.0732
AR27,geonames2d,27,postalcode,-33.9745,-60.4605
AR28,geonames2d,28,postalcode,-33.353,-58.9667
AR29,geonames2d,29,postalcode,-33.5076,-60.0949
AR34,geonames2d,34,postalcode,-28.505,-58.4568
AR37,geonames2d,37,postalcode,-27.0117,-61.9746
AR60,geonames2d,60,postalcode,-34.6482,-61.4465
AR61,geonames2d,61,postalcode,-34.1366,-63.3783
AR62,geonames2d,62,postalcode,-34.9304,-64.9266
AR63,geonames2d,63,postalcode,-36.4491,-64.4597
AR64,geonames2d,64,postalcode,-36.2346,-62.3748
AR65,geonames2d,65,postalcode,-35.8157,-61.1834
AR66,geonames2d,66,postalcode,-35.0014,-59.9141
AR67,geonames2d,67,postalcode,-34.5117,-59.5302
AR70,geonames2d,70,postalcode,-37.5655,-59.2511
AR71,geonames2d,71,postalcode,-36.4392,-57.5338
AR72,geonames2d,72,postalcode,-35.7926,-59.2181
AR73,geonames2d,73,postalcode,-36.7756,-59.9228
AR74,geonames2d,74,postalcode,-37.1107,-60.5832
AR75,geonames2d,75,postalcode,-38.097,-60.8186
AR76,geonames2d,76,postalcode,-38.1143,-58.0135
AR80,geonames2d,80,postalcode,-38.7042,-62.2458
AR81,geonames2d,81,postalcode,-38.5711,-62.8084
AR85,geonames2d,85,postalcode,-40.698,-64.5787
AR47,geonames2d,47,postalcode,-28.1125,-65.9435
AR52,geonames2d,52,postalcode,-30.135,-64.3497
AR54,geonames2d,54,postalcode,-31.2407,-68.087
AR55,geonames2d,55,postalcode,-33.1056,-68.6131
AR57,geonames2d,57,postalcode,-32.9226,-66.0015
AR58,geonames2d,58,postalcode,-32.4364,-64.7344
AR20,geonames2d,20,postalcode,-32.9541,-60.6784
AR31,geonames2d,31,postalcode,-31.3236,-59.5417
AR32,geonames2d,32,postalcode,-31.3999,-58.2359
AR33,geonames2d,33,postalcode,-27.5545,-55.5495
AR38,geonames2d,38,postalcode,-32.7,-58.7667
AR53,geonames2d,53,postalcode,-28.9949,-67.0848
AR30,geonames2d,30,postalcode,-30.5192,-60.9984
AR42,geonames2d,42,postalcode,-28.0851,-64.7344
AR43,geonames2d,43,postalcode,-27.7237,-63.7086
AR51,geonames2d,51,postalcode,-31.3773,-64.15
AR35,geonames2d,35,postalcode,-27.7401,-59.6012
AR56,geonames2d,56,postalcode,-35.1335,-68.3106
AR82,geonames2d,82,postalcode,-37.6313,-64.6204
AR83,geonames2d,83,postalcode,-38.7119,-69.431
AR84,geonames2d,84,postalcode,-41.1484,-70.3743
AR91,geonames2d,91,postalcode,-43.0031,-65.9165
AR22,geonames2d,22,postalcode,-32.2786,-60.997
AR24,geonames2d,24,postalcode,-31.3514,-62.2957
AR25,geonames2d,25,postalcode,-32.5924,-62.2073
AR26,geonames2d,26,postalcode,-33.5383,-62.4129
AR40,geonames2d,40,postalcode,-26.8083,-65.2333
AR90,geonames2d,90,postalcode,-46.0827,-68.3885
AR92,geonames2d,92,postalcode,-43.4333,-70.6679
AR94,geonames2d,94,postalcode,-51.3889,-70.3669
AR50,geonames2d,50,postalcode,-31.4059,-64.1887
AR59,geonames2d,59,postalcode,-32.0557,-63.3171
AR93,geonames2d,93,postalcode,-49.2199,-70.2268
AS96,geonames2d,96,postalcode,-14.2781,-170.7025
AT70,geonames2d,70,postalcode,47.8131,16.5321
AT24,geonames2d,24,postalcode,48.0028,16.6479
AT75,geonames2d,75,postalcode,47.1207,16.291
AT82,geonames2d,82,postalcode,47.2383,15.9093
AT83,geonames2d,83,postalcode,46.9519,15.8763
AT72,geonames2d,72,postalcode,47.7438,16.3522
AT71,geonames2d,71,postalcode,47.8218,16.898
AT28,geonames2d,28,postalcode,47.5875,16.1732
AT73,geonames2d,73,postalcode,47.5419,16.4884
AT74,geonames2d,74,postalcode,47.3536,16.2995
AT90,geonames2d,90,postalcode,46.6352,14.3073
AT92,geonames2d,92,postalcode,46.6208,14.0327
AT95,geonames2d,95,postalcode,46.7132,14.0092
AT96,geonames2d,96,postalcode,46.6371,13.2575
AT91,geonames2d,91,postalcode,46.6061,14.5594
AT88,geonames2d,88,postalcode,47.1235,14.2352
AT93,geonames2d,93,postalcode,46.8593,14.3647
AT97,geonames2d,97,postalcode,46.7401,13.3764
AT98,geonames2d,98,postalcode,46.9023,13.3523
AT94,geonames2d,94,postalcode,46.8034,14.8506
AT35,geonames2d,35,postalcode,48.5312,15.5028
AT31,geonames2d,31,postalcode,48.1771,15.6561
AT33,geonames2d,33,postalcode,48.09,15.048
AT32,geonames2d,32,postalcode,48.0641,15.2687
AT27,geonames2d,27,postalcode,47.8309,16.0508
AT43,geonames2d,43,postalcode,48.2582,14.716
AT44,geonames2d,44,postalcode,48.0907,14.4275
AT25,geonames2d,25,postalcode,47.9923,16.1154
AT26,geonames2d,26,postalcode,47.7124,15.961
AT30,geonames2d,30,postalcode,48.1822,15.8775
AT13,geonames2d,13,postalcode,48.15,16.5167
AT23,geonames2d,23,postalcode,48.1208,16.3924
AT21,geonames2d,21,postalcode,48.5562,16.48
AT22,geonames2d,22,postalcode,48.3866,16.7189
AT38,geonames2d,38,postalcode,48.8596,15.2792
AT39,geonames2d,39,postalcode,48.6312,15.023
AT20,geonames2d,20,postalcode,48.6427,16.0171
AT34,geonames2d,34,postalcode,48.3528,15.9306
AT37,geonames2d,37,postalcode,48.6412,15.7765
AT12,geonames2d,12,postalcode,48.2367,16.3854
AT36,geonames2d,36,postalcode,48.3271,15.2311
AT86,geonames2d,86,postalcode,47.5328,15.4506
AT11,geonames2d,11,postalcode,48.2035,16.2963
AT89,geonames2d,89,postalcode,47.5295,14.1071
AT40,geonames2d,40,postalcode,48.3431,14.0097
AT46,geonames2d,46,postalcode,48.1191,13.8728
AT49,geonames2d,49,postalcode,48.2019,13.4381
AT51,geonames2d,51,postalcode,48.0657,12.968
AT52,geonames2d,52,postalcode,48.1012,13.177
AT47,geonames2d,47,postalcode,48.3397,13.6922
AT41,geonames2d,41,postalcode,48.5171,14.0144
AT42,geonames2d,42,postalcode,48.4228,14.5215
AT48,geonames2d,48,postalcode,47.9577,13.5481
AT53,geonames2d,53,postalcode,47.7933,13.3114
AT45,geonames2d,45,postalcode,47.9614,14.2169
AT50,geonames2d,50,postalcode,47.7089,12.921
AT54,geonames2d,54,postalcode,47.6031,13.2122
AT55,geonames2d,55,postalcode,47.288,13.5212
AT56,geonames2d,56,postalcode,47.2707,13.0619
AT57,geonames2d,57,postalcode,47.3369,12.6186
AT80,geonames2d,80,postalcode,47.0232,15.5337
AT81,geonames2d,81,postalcode,47.1759,15.4448
AT84,geonames2d,84,postalcode,46.7773,15.5694
AT85,geonames2d,85,postalcode,46.8747,15.2489
AT87,geonames2d,87,postalcode,47.289,14.7523
AT60,geonames2d,60,postalcode,47.2509,11.4179
AT61,geonames2d,61,postalcode,47.2246,11.4313
AT64,geonames2d,64,postalcode,47.2074,10.9409
AT63,geonames2d,63,postalcode,47.5422,12.2243
AT62,geonames2d,62,postalcode,47.3461,11.8544
AT65,geonames2d,65,postalcode,47.0779,10.5158
AT99,geonames2d,99,postalcode,46.872,12.5877
AT66,geonames2d,66,postalcode,47.4091,10.5899
AT67,geonames2d,67,postalcode,47.1831,9.9059
AT68,geonames2d,68,postalcode,47.3122,9.7561
AT69,geonames2d,69,postalcode,47.4836,9.8449
AT10,geonames2d,10,postalcode,48.2051,16.3653
AU02,geonames2d,02,postalcode,-35.2913,149.13
AU25,geonames2d,25,postalcode,-34.9768,150.1885
AU26,geonames2d,26,postalcode,-35.3777,148.1375
AU29,geonames2d,29,postalcode,-35.3166,149.1083
AU10,geonames2d,10,postalcode,-33.8678,151.2073
AU11,geonames2d,11,postalcode,-33.8678,151.2073
AU12,geonames2d,12,postalcode,-33.8716,151.2066
AU13,geonames2d,13,postalcode,-33.8781,151.2298
AU14,geonames2d,14,postalcode,-33.947,151.1514
AU15,geonames2d,15,postalcode,-33.8193,151.1909
AU16,geonames2d,16,postalcode,-33.7579,151.1872
AU17,geonames2d,17,postalcode,-33.7648,151.0311
AU18,geonames2d,18,postalcode,-33.8873,151.0085
AU19,geonames2d,19,postalcode,-33.8816,150.9844
AU20,geonames2d,20,postalcode,-33.8258,151.2048
AU21,geonames2d,21,postalcode,-33.8192,151.034
AU22,geonames2d,22,postalcode,-33.418,151.3874
AU23,geonames2d,23,postalcode,-31.5393,151.1129
AU24,geonames2d,24,postalcode,-30.099,152.7355
AU27,geonames2d,27,postalcode,-34.0689,148.8494
AU28,geonames2d,28,postalcode,-32.3734,148.4651
AU35,geonames2d,35,postalcode,-36.0044,143.7514
AU36,geonames2d,36,postalcode,-36.4514,145.8951
AU37,geonames2d,37,postalcode,-37.0287,146.0825
AU43,geonames2d,43,postalcode,-27.7894,152.0915
AU08,geonames2d,08,postalcode,-16.1729,132.329
AU09,geonames2d,09,postalcode,-12.4105,130.88
AU48,geonames2d,48,postalcode,-18.2579,145.5251
AU40,geonames2d,40,postalcode,-27.4262,153.0203
AU41,geonames2d,41,postalcode,-27.5653,153.1173
AU42,geonames2d,42,postalcode,-27.8997,153.1744
AU44,geonames2d,44,postalcode,-26.7843,149.0044
AU45,geonames2d,45,postalcode,-26.6445,152.8629
AU46,geonames2d,46,postalcode,-25.3121,151.8802
AU47,geonames2d,47,postalcode,-22.7841,149.0652
AU90,geonames2d,90,postalcode,-27.4679,153.0281
AU94,geonames2d,94,postalcode,-33.8816,150.9844
AU97,geonames2d,97,postalcode,-33.8816,150.9844
AU99,geonames2d,99,postalcode,-20.7151,148.9316
AU50,geonames2d,50,postalcode,-34.9163,138.5921
AU51,geonames2d,51,postalcode,-34.9198,138.6522
AU52,geonames2d,52,postalcode,-35.9458,139.3913
AU53,geonames2d,53,postalcode,-34.4364,139.7679
AU54,geonames2d,54,postalcode,-33.4256,138.6445
AU55,geonames2d,55,postalcode,-34.1804,137.8849
AU56,geonames2d,56,postalcode,-33.3223,135.5103
AU57,geonames2d,57,postalcode,-30.9714,137.2392
AU58,geonames2d,58,postalcode,-34.9287,138.5986
AU59,geonames2d,59,postalcode,-34.9042,138.5758
AU70,geonames2d,70,postalcode,-42.7708,147.2652
AU71,geonames2d,71,postalcode,-42.8335,147.2225
AU72,geonames2d,72,postalcode,-41.1414,147.2116
AU73,geonames2d,73,postalcode,-41.2616,146.0182
AU74,geonames2d,74,postalcode,-41.968,145.4425
AU78,geonames2d,78,postalcode,-42.8794,147.3294
AU79,geonames2d,79,postalcode,-41.4163,147.0623
AU30,geonames2d,30,postalcode,-37.7491,144.9198
AU31,geonames2d,31,postalcode,-37.882,145.1417
AU32,geonames2d,32,postalcode,-38.2588,143.5135
AU33,geonames2d,33,postalcode,-37.4728,143.1466
AU34,geonames2d,34,postalcode,-36.7278,143.2732
AU38,geonames2d,38,postalcode,-37.9138,146.9346
AU39,geonames2d,39,postalcode,-38.3876,145.7933
AU80,geonames2d,80,postalcode,-37.8147,144.9669
AU81,geonames2d,81,postalcode,-37.814,144.9633
AU82,geonames2d,82,postalcode,-37.814,144.9633
AU83,geonames2d,83,postalcode,-37.814,144.9633
AU86,geonames2d,86,postalcode,-37.8421,145.0694
AU60,geonames2d,60,postalcode,-31.8089,115.8651
AU61,geonames2d,61,postalcode,-32.129,115.8768
AU62,geonames2d,62,postalcode,-33.5438,115.7954
AU63,geonames2d,63,postalcode,-33.5106,117.6514
AU64,geonames2d,64,postalcode,-31.3284,119.7154
AU65,geonames2d,65,postalcode,-29.7556,115.3792
AU66,geonames2d,66,postalcode,-28.534,117.1066
AU67,geonames2d,67,postalcode,-21.0004,118.3973
AU68,geonames2d,68,postalcode,-31.9493,115.8568
AU69,geonames2d,69,postalcode,-31.9816,115.8463
AX22,geonames2d,22,postalcode,60.2262,20.2956
AZAZ,geonames2d,AZ,postalcode,40.3871,47.8736
BD10,geonames2d,10,postalcode,23.729,90.4112
BD11,geonames2d,11,postalcode,23.9996,90.4222
BD12,geonames2d,12,postalcode,23.7849,90.407
BD13,geonames2d,13,postalcode,23.7387,90.2889
BD78,geonames2d,78,postalcode,23.4545,89.7981
BD17,geonames2d,17,postalcode,24.1532,90.4781
BD80,geonames2d,80,postalcode,23.2425,90.4119
BD81,geonames2d,81,postalcode,23.1791,89.8559
BD23,geonames2d,23,postalcode,24.3207,90.9307
BD79,geonames2d,79,postalcode,23.1992,90.1854
BD18,geonames2d,18,postalcode,23.849,89.9101
BD15,geonames2d,15,postalcode,23.5184,90.4005
BD14,geonames2d,14,postalcode,23.7135,90.5546
BD16,geonames2d,16,postalcode,23.9954,90.7012
BD77,geonames2d,77,postalcode,23.7325,89.5692
BD19,geonames2d,19,postalcode,24.2648,90.0078
BD93,geonames2d,93,postalcode,22.7207,89.7106
BD72,geonames2d,72,postalcode,23.6545,88.8658
BD74,geonames2d,74,postalcode,23.1452,89.1822
BD73,geonames2d,73,postalcode,23.4673,89.1332
BD90,geonames2d,90,postalcode,22.8404,89.5392
BD91,geonames2d,91,postalcode,22.8174,89.5648
BD92,geonames2d,92,postalcode,22.7917,89.4173
BD70,geonames2d,70,postalcode,23.8998,89.1085
BD76,geonames2d,76,postalcode,23.383,89.4665
BD71,geonames2d,71,postalcode,23.7431,88.685
BD75,geonames2d,75,postalcode,23.1368,89.638
BD94,geonames2d,94,postalcode,22.5918,89.1555
BD58,geonames2d,58,postalcode,24.7986,89.2818
BD59,geonames2d,59,postalcode,25.0971,89.1033
BD65,geonames2d,65,postalcode,24.9091,88.7179
BD64,geonames2d,64,postalcode,24.3288,89.0308
BD63,geonames2d,63,postalcode,24.691,88.3091
BD66,geonames2d,66,postalcode,24.1075,89.3638
BD60,geonames2d,60,postalcode,24.3644,88.6049
BD61,geonames2d,61,postalcode,24.3663,88.605
BD62,geonames2d,62,postalcode,24.5149,88.6631
BD67,geonames2d,67,postalcode,24.4117,89.5142
BD46,geonames2d,46,postalcode,21.839,92.3415
BD34,geonames2d,34,postalcode,23.9247,91.0928
BD36,geonames2d,36,postalcode,23.2507,90.754
BD40,geonames2d,40,postalcode,22.3455,91.8342
BD41,geonames2d,41,postalcode,22.2225,91.8412
BD42,geonames2d,42,postalcode,22.3948,91.8365
BD43,geonames2d,43,postalcode,22.4567,91.8314
BD35,geonames2d,35,postalcode,23.3716,91.0125
BD47,geonames2d,47,postalcode,21.298,92.1015
BD39,geonames2d,39,postalcode,22.999,91.422
BD44,geonames2d,44,postalcode,23.0222,91.9808
BD37,geonames2d,37,postalcode,23.109,90.9016
BD38,geonames2d,38,postalcode,22.9798,91.1233
BD45,geonames2d,45,postalcode,22.4922,92.2281
BD87,geonames2d,87,postalcode,22.3136,90.1012
BD82,geonames2d,82,postalcode,22.8063,90.3357
BD83,geonames2d,83,postalcode,22.3161,90.7184
BD84,geonames2d,84,postalcode,22.5867,90.1818
BD86,geonames2d,86,postalcode,22.2681,90.394
BD85,geonames2d,85,postalcode,22.5072,90.0438
BD33,geonames2d,33,postalcode,24.3713,91.4413
BD32,geonames2d,32,postalcode,24.514,91.8629
BD30,geonames2d,30,postalcode,24.8937,91.5765
BD31,geonames2d,31,postalcode,24.7905,91.886
BD52,geonames2d,52,postalcode,25.5594,88.9094
BD57,geonames2d,57,postalcode,25.4152,89.4939
BD56,geonames2d,56,postalcode,25.7193,89.6464
BD55,geonames2d,55,postalcode,26.1669,89.1228
BD53,geonames2d,53,postalcode,26.0142,88.9168
BD50,geonames2d,50,postalcode,25.9689,88.6808
BD54,geonames2d,54,postalcode,25.7066,89.2944
BD51,geonames2d,51,postalcode,25.9522,88.2003
BD20,geonames2d,20,postalcode,24.6794,89.9036
BD22,geonames2d,22,postalcode,24.6768,90.5347
BD24,geonames2d,24,postalcode,24.9138,90.7623
BD21,geonames2d,21,postalcode,25.0777,90.0946
BE10,geonames2d,10,postalcode,50.8462,4.3505
BE11,geonames2d,11,postalcode,50.8379,4.3672
BE12,geonames2d,12,postalcode,50.8483,4.3739
BE20,geonames2d,20,postalcode,51.2154,4.4052
BE21,geonames2d,21,postalcode,51.2152,4.4424
BE22,geonames2d,22,postalcode,51.1589,4.7814
BE23,geonames2d,23,postalcode,51.3712,4.8542
BE24,geonames2d,24,postalcode,51.163,5.0
BE25,geonames2d,25,postalcode,51.1326,4.5775
BE26,geonames2d,26,postalcode,51.1788,4.403
BE28,geonames2d,28,postalcode,51.061,4.3857
BE29,geonames2d,29,postalcode,51.3229,4.5516
BE15,geonames2d,15,postalcode,50.7527,4.1533
BE16,geonames2d,16,postalcode,50.7611,4.2346
BE17,geonames2d,17,postalcode,50.8665,4.1821
BE18,geonames2d,18,postalcode,50.9404,4.3882
BE19,geonames2d,19,postalcode,50.9212,4.4945
BE30,geonames2d,30,postalcode,50.8411,4.6235
BE31,geonames2d,31,postalcode,50.9736,4.6796
BE32,geonames2d,32,postalcode,50.9606,4.9167
BE33,geonames2d,33,postalcode,50.8373,4.9162
BE34,geonames2d,34,postalcode,50.8316,5.0613
BE99,geonames2d,99,postalcode,51.1875,3.601
BE35,geonames2d,35,postalcode,50.9751,5.2435
BE36,geonames2d,36,postalcode,51.005,5.6754
BE37,geonames2d,37,postalcode,50.8105,5.5345
BE38,geonames2d,38,postalcode,50.7895,5.2438
BE39,geonames2d,39,postalcode,51.1673,5.4362
BE90,geonames2d,90,postalcode,51.0578,3.7495
BE91,geonames2d,91,postalcode,51.1819,4.1607
BE92,geonames2d,92,postalcode,51.0241,4.0389
BE93,geonames2d,93,postalcode,50.9466,4.0073
BE94,geonames2d,94,postalcode,50.8638,4.001
BE95,geonames2d,95,postalcode,50.8313,3.8819
BE96,geonames2d,96,postalcode,50.845,3.7285
BE97,geonames2d,97,postalcode,50.8692,3.593
BE98,geonames2d,98,postalcode,50.9898,3.6128
BE80,geonames2d,80,postalcode,51.1544,3.2319
BE82,geonames2d,82,postalcode,51.162,3.1719
BE83,geonames2d,83,postalcode,51.2667,3.2348
BE84,geonames2d,84,postalcode,51.1849,2.948
BE85,geonames2d,85,postalcode,50.8079,3.35
BE86,geonames2d,86,postalcode,51.0304,2.773
BE87,geonames2d,87,postalcode,50.9704,3.3546
BE88,geonames2d,88,postalcode,50.9396,3.1359
BE89,geonames2d,89,postalcode,50.8339,2.8627
