name	source	layer	lat	lon	country	postalcode
AD10	geonamesandpostcodeinfo	address	42.5833	1.6667	AD	10
AD20	geonamesandpostcodeinfo	address	42.5333	1.6333	AD	20
AD30	geonamesandpostcodeinfo	address	42.6	1.55	AD	30
AD40	geonamesandpostcodeinfo	address	42.5667	1.4833	AD	40
AD50	geonamesandpostcodeinfo	address	42.5	1.5	AD	50
AD60	geonamesandpostcodeinfo	address	42.4667	1.5	AD	60
AD70	geonamesandpostcodeinfo	address	42.5	1.5667	AD	70
AR36	geonamesandpostcodeinfo	address	-25.0178	-59.6472	AR	36
AR41	geonamesandpostcodeinfo	address	-26.883	-65.1956	AR	41
AR44	geonamesandpostcodeinfo	address	-25.0513	-65.2488	AR	44
AR45	geonamesandpostcodeinfo	address	-23.5455	-64.0472	AR	45
AR46	geonamesandpostcodeinfo	address	-23.2252	-65.5236	AR	46
AR16	geonamesandpostcodeinfo	address	-34.3805	-58.6098	AR	16
AR17	geonamesandpostcodeinfo	address	-34.6874	-58.706	AR	17
AR18	geonamesandpostcodeinfo	address	-34.7992	-58.3572	AR	18
AR19	geonamesandpostcodeinfo	address	-35.0643	-57.9233	AR	19
AR21	geonamesandpostcodeinfo	address	-33.0442	-60.9552	AR	21
AR23	geonamesandpostcodeinfo	address	-30.1916	-62.0732	AR	23
AR27	geonamesandpostcodeinfo	address	-33.9745	-60.4605	AR	27
AR28	geonamesandpostcodeinfo	address	-33.353	-58.9667	AR	28
AR29	geonamesandpostcodeinfo	address	-33.5076	-60.0949	AR	29
AR34	geonamesandpostcodeinfo	address	-28.505	-58.4568	AR	34
AR37	geonamesandpostcodeinfo	address	-27.0117	-61.9746	AR	37
AR60	geonamesandpostcodeinfo	address	-34.6482	-61.4465	AR	60
AR61	geonamesandpostcodeinfo	address	-34.1366	-63.3783	AR	61
AR62	geonamesandpostcodeinfo	address	-34.9304	-64.9266	AR	62
AR63	geonamesandpostcodeinfo	address	-36.4491	-64.4597	AR	63
AR64	geonamesandpostcodeinfo	address	-36.2346	-62.3748	AR	64
AR65	geonamesandpostcodeinfo	address	-35.8157	-61.1834	AR	65
AR66	geonamesandpostcodeinfo	address	-35.0014	-59.9141	AR	66
AR67	geonamesandpostcodeinfo	address	-34.5117	-59.5302	AR	67
AR70	geonamesandpostcodeinfo	address	-37.5655	-59.2511	AR	70
AR71	geonamesandpostcodeinfo	address	-36.4392	-57.5338	AR	71
AR72	geonamesandpostcodeinfo	address	-35.7926	-59.2181	AR	72
AR73	geonamesandpostcodeinfo	address	-36.7756	-59.9228	AR	73
AR74	geonamesandpostcodeinfo	address	-37.1107	-60.5832	AR	74
AR75	geonamesandpostcodeinfo	address	-38.097	-60.8186	AR	75
AR76	geonamesandpostcodeinfo	address	-38.1143	-58.0135	AR	76
AR80	geonamesandpostcodeinfo	address	-38.7042	-62.2458	AR	80
AR81	geonamesandpostcodeinfo	address	-38.5711	-62.8084	AR	81
AR85	geonamesandpostcodeinfo	address	-40.698	-64.5787	AR	85
AR47	geonamesandpostcodeinfo	address	-28.1125	-65.9435	AR	47
AR52	geonamesandpostcodeinfo	address	-30.135	-64.3497	AR	52
AR54	geonamesandpostcodeinfo	address	-31.2407	-68.087	AR	54
AR55	geonamesandpostcodeinfo	address	-33.1056	-68.6131	AR	55
AR57	geonamesandpostcodeinfo	address	-32.9226	-66.0015	AR	57
AR58	geonamesandpostcodeinfo	address	-32.4364	-64.7344	AR	58
AR20	geonamesandpostcodeinfo	address	-32.9541	-60.6784	AR	20
AR31	geonamesandpostcodeinfo	address	-31.3236	-59.5417	AR	31
AR32	geonamesandpostcodeinfo	address	-31.3999	-58.2359	AR	32
AR33	geonamesandpostcodeinfo	address	-27.5545	-55.5495	AR	33
AR38	geonamesandpostcodeinfo	address	-32.7	-58.7667	AR	38
AR53	geonamesandpostcodeinfo	address	-28.9949	-67.0848	AR	53
AR30	geonamesandpostcodeinfo	address	-30.5192	-60.9984	AR	30
AR42	geonamesandpostcodeinfo	address	-28.0851	-64.7344	AR	42
AR43	geonamesandpostcodeinfo	address	-27.7237	-63.7086	AR	43
AR51	geonamesandpostcodeinfo	address	-31.3773	-64.15	AR	51
AR35	geonamesandpostcodeinfo	address	-27.7401	-59.6012	AR	35
AR56	geonamesandpostcodeinfo	address	-35.1335	-68.3106	AR	56
AR82	geonamesandpostcodeinfo	address	-37.6313	-64.6204	AR	82
AR83	geonamesandpostcodeinfo	address	-38.7119	-69.431	AR	83
AR84	geonamesandpostcodeinfo	address	-41.1484	-70.3743	AR	84
AR91	geonamesandpostcodeinfo	address	-43.0031	-65.9165	AR	91
AR22	geonamesandpostcodeinfo	address	-32.2786	-60.997	AR	22
AR24	geonamesandpostcodeinfo	address	-31.3514	-62.2957	AR	24
AR25	geonamesandpostcodeinfo	address	-32.5924	-62.2073	AR	25
AR26	geonamesandpostcodeinfo	address	-33.5383	-62.4129	AR	26
AR40	geonamesandpostcodeinfo	address	-26.8083	-65.2333	AR	40
AR90	geonamesandpostcodeinfo	address	-46.0827	-68.3885	AR	90
AR92	geonamesandpostcodeinfo	address	-43.4333	-70.6679	AR	92
AR94	geonamesandpostcodeinfo	address	-51.3889	-70.3669	AR	94
AR50	geonamesandpostcodeinfo	address	-31.4059	-64.1887	AR	50
AR59	geonamesandpostcodeinfo	address	-32.0557	-63.3171	AR	59
AR93	geonamesandpostcodeinfo	address	-49.2199	-70.2268	AR	93
AS96	geonamesandpostcodeinfo	address	-14.2781	-170.7025	AS	96
AT70	geonamesandpostcodeinfo	address	47.8109	16.5293	AT	70
AT24	geonamesandpostcodeinfo	address	48.0013	16.6426	AT	24
AT75	geonamesandpostcodeinfo	address	47.1203	16.2833	AT	75
AT82	geonamesandpostcodeinfo	address	47.2384	15.9082	AT	82
AT83	geonamesandpostcodeinfo	address	46.9537	15.8729	AT	83
AT72	geonamesandpostcodeinfo	address	47.743	16.3491	AT	72
AT71	geonamesandpostcodeinfo	address	47.8218	16.898	AT	71
AT28	geonamesandpostcodeinfo	address	47.5919	16.1701	AT	28
AT73	geonamesandpostcodeinfo	address	47.5436	16.4897	AT	73
AT74	geonamesandpostcodeinfo	address	47.358	16.299	AT	74
